LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
82;149200230;CZCHÓW;Dunajec (214);49 48 59;20 40 55;
83;149200240;NOWY SĄCZ;Dunajec (214);49 37 38;20 41 14;
84;149200250;NOWY SĄCZ;Kamienica (21432);49 37 31;20 41 45;
85;149200260;NOWY SĄCZ;Łubinka (21434);49 38 07;20 42 17;
86;149200270;ŁABOWA;Kamienica (21432);49 31 35;20 51 32;
87;149200280;ZGŁOBICE;Dunajec (214);49 58 30;20 52 47;
88;149200290;MUSZYNA-MILIK;Poprad (2142);49 21 00;20 53 07;
89;149200300;MUSZYNA;Poprad (2142);49 20 22;20 53 31;
90;149200310;GRYBÓW;Biała (2148);49 37 26;20 56 45;
91;149200320;KOSZYCE WIELKIE;Biała (2148);49 59 50;20 56 58;
92;149200330;CIĘŻKOWICE;Biała (2148);49 47 32;20 58 25;
93;149200520;Pierzchów;Królewski Potok (213892);49 56 03;20 16 48;
94;149200530;Skrzynka;Krzyworzeka (213874);49 52 29;20 07 58;380.0
95;149200540;Gdów 2;Raba (2138);49 54 05;20 12 42;
96;149209990;Piekiełko;Łososina (214734);49 44 58;20 20 45;
97;149210010;ROPA;Ropa (2182);49 35 09;21 02 47;
98;149210020;GORLICE;Sękówka (21826);49 39 17;21 10 13;
99;149210030;KLĘCZANY;Ropa (2182);49 42 05;21 13 00;
100;149210040;ŁABUZIE;Wisłoka (218);49 59 16;21 18 35;
101;149210050;KRAJOWICE;Wisłoka (218);49 46 20;21 24 45;
102;149210060;TOPOLINY;Ropa (2182);49 43 29;21 26 36;
103;149210070;ŻÓŁKÓW;Wisłoka (218);49 43 48;21 27 33;
104;149210080;JASŁO;Jasiołka (2184);49 45 01;21 28 23;
105;149210090;KREMPNA-KOTAŃ;Wisłoka (218);49 30 59;21 29 03;
106;149210100;ZBOISKA;Jasiołka (2184);49 34 28;21 41 54;
107;149210110;KROSNO;Wisłok (226);49 41 38;21 46 29;
108;149210120;GODOWA;Stobnica (2264);49 50 55;21 48 42;
109;149210130;ŻARNOWA;Wisłok (226);49 52 40;21 49 03;
110;149210140;ISKRZYNIA;Morwawa (2262);49 40 38;21 51 52;
111;149210150;PUŁAWY;Wisłok (226);49 29 24;21 54 24;
112;149210160;SIENIAWA;Wisłok (226);49 34 04;21 55 48;
113;149210180;Kunkowa;Przysłopianka (218232);49 32 57;21 07 31;
